GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
grievance,com.grievance.filter,Authentication,217,0,16,0,57,0,14,0,6,0
grievance,com.grievance,GrievanceApplication,8,0,0,0,4,0,2,0,2,0
grievance,com.grievance.indto,ChangePasswordDto,0,17,0,0,0,7,0,5,0,5
grievance,com.grievance.indto,DepartmentDto,0,28,0,0,0,9,0,5,0,5
grievance,com.grievance.indto,LoginDto,0,34,0,0,0,8,0,6,0,6
grievance,com.grievance.indto,TicketDto,0,113,0,0,0,30,0,20,0,20
grievance,com.grievance.indto,MemberDto,0,70,0,0,0,17,0,12,0,12
grievance,com.grievance.enums,TicketStatus,0,34,0,0,0,4,0,1,0,1
grievance,com.grievance.enums,MemberRole,0,24,0,0,0,3,0,1,0,1
grievance,com.grievance.enums,TicketType,0,24,0,0,0,3,0,1,0,1
grievance,com.grievance.entity,Member,4,177,7,11,2,38,7,22,0,20
grievance,com.grievance.entity,Ticket,6,222,10,12,3,43,10,25,0,24
grievance,com.grievance.entity,Department,6,96,4,6,3,23,4,13,0,12
grievance,com.grievance.entity,Comment,6,135,6,8,3,27,6,15,0,14
grievance,com.grievance.controller,TicketController,0,98,0,2,0,19,0,7,0,6
grievance,com.grievance.controller,DepartmentController,0,87,0,2,0,26,0,6,0,5
grievance,com.grievance.controller,MemberController,0,89,0,0,0,24,0,7,0,7
grievance,com.grievance.config,FilterConfig,27,0,0,0,7,0,2,0,2,0
grievance,com.grievance.serviceimpl,TicketServiceImpl,71,611,10,46,16,141,9,26,0,7
grievance,com.grievance.serviceimpl,MemberServiceImpl,0,354,1,25,0,100,1,19,0,7
grievance,com.grievance.serviceimpl,DecodePassword,0,16,0,0,0,4,0,2,0,2
grievance,com.grievance.serviceimpl,Conversion,38,227,12,12,13,61,12,7,0,7
grievance,com.grievance.serviceimpl,DepartmentServiceImpl,0,200,2,14,0,58,2,12,0,6
grievance,com.grievance.outdto,TicketOutDto,5,258,13,13,2,45,13,24,0,24
grievance,com.grievance.outdto,MemberOutDto,5,167,9,9,2,30,9,16,0,16
grievance,com.grievance.outdto,DepartmentOutDto,7,76,5,5,3,16,5,8,0,8
grievance,com.grievance.exception,ErrorResponse,4,9,0,0,2,4,1,2,1,2
grievance,com.grievance.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
grievance,com.grievance.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
grievance,com.grievance.exception,RecordAlreadyExistException,0,4,0,0,0,2,0,1,0,1
grievance,com.grievance.exception,GlobalExceptionHandler,70,53,2,0,15,7,5,6,4,6
grievance,com.grievance.exception,CannotEditTicketException,0,4,0,0,0,2,0,1,0,1
